1 16 6 51 -5 3 0 0 169 5 7 0 0 -4 -4 0 -4 -4 0 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 0 -4 -4 0 -4 -4 0 -4 -4 1 1 1 0 -4 -4 0 1 1 -4 1 1 0 -4 -4 0 -4 -4 4 76272 1 42 -4
2 16 7 51 4 -4 0 0 128 5 1 1 0 -4 -4 0 -4 -4 1 0 0 -4 -4 0 -4 -4 1 -4 -4 0 -4 -4 0 -4 -4 1 1 1 0 -4 -4 0 -4 -4 1 -4 0 1 1 1 0 -4 -4 1 -4 -4 0 0 1 46 48
3 22 8 45 0 3 0 1 140 5 1 0 1 1 1 0 -4 -4 0 0 -4 1 1 0 -4 -4 0 -4 -4 1 1 1 0 -4 -4 0 0 -4 -4 1 1 0 -4 -4 0 0 -4 1 1 1 0 -4 -4 0 -4 -4 1 0 0 -4 -4
4 22 4 45 2 3 0 1 190 5 4 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -4 -4 -4
5 22 10 45 1 -4 0 0 170 5 1 1 0 -4 -4 0 -4 -4 1 1 0 -4 -4 0 -4 -4 1 -4 -4 0 -4 -4 0 -4 -4 1 0 -4 0 -4 -4 0 -4 -4 1 1 1 0 -4 -4 0 -4 -4 1 -4 -4 5 38940 1 42 -4
6 21 4 46 2 2 0 0 133 5 2 0 0 -4 -4 0 -4 -4 0 0 0 -4 -4 0 -4 -4 0 0 -4 0 -4 -4 0 -4 -4 0 0 -4 0 -4 -4 0 -4 -4 0 -4 -4 0 -4 -4 0 -4 -4 0 1 1 2 31194 1 56 -4
7 19 2 49 2 -4 0 0 195 5 7 1 0 -4 -4 0 -4 -4 1 1 0 -4 -4 0 -4 -4 1 -4 1 0 -4 -4 0 -4 -4 1 1 1 0 -4 -4 0 -4 -4 1 -4 1 0 -4 -4 0 -4 -4 1 -4 -4 4 67950 1 46 -4
8 24 3 43 2 3 0 0 150 5 6 0 0 -4 -4 0 -4 -4 0 1 0 -4 -4 0 -4 -4 0 -4 -4 0 -4 -4 0 -4 -4 0 1 1 0 -4 -4 0 -4 -4 0 -4 1 1 1 1 0 -4 -4 0 1 1 2 72642 1 45 -4
9 16 4 51 2 3 0 1 190 5 3 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 1 1 0 0 -4 -4 0 1 0 3 70500 1 46 48
10 16 3 51 3 -4 0 0 208 5 9 1 0 -4 -4 0 -4 -4 1 0 1 0 -4 0 -4 -4 1 0 -4 -5 -5 -5 -5 -5 -5 -5 -5 -5 -4 0 -4 0 -4 -4 1 -4 -4 0 -4 -4 0 -4 -4 1 0 -4 4 0 0 -4 -4
11 18 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -4 -4 -4
12 20 10 47 1 3 0 0 180 5 2 0 0 -4 -4 0 -4 -4 0 0 0 -4 -4 0 -4 -4 0 0 -4 0 -4 -4 0 -4 -4 0 0 -4 0 -4 -4 0 -4 -4 0 -4 -4 0 -4 -4 0 -4 -4 0 0 -4 1 123600 0 -4 -4
13 20 10 47 2 2 0 0 110 5 3 0 0 -4 -4 0 -4 -4 0 0 0 -4 -4 0 -4 -4 0 1 1 0 -4 -4 0 -4 -4 0 -4 1 0 -4 -4 0 -4 -4 0 1 1 0 -4 -4 0 -4 -4 0 -4 -4 3 17000 1 51 -4
